shipmode;sales;quantity;discount;profit;segment;region;state;subcategory;category;orderdate_day;orderdate_month;orderdate_year;shipdate_day;shipdate_month;shipdate_year;preparationtime;Pais1;Pais2;Pais3;Pais4;Pais5;Pais6
Standard Class;46516;2;0;1209416;Consumer;Central;Indiana;Appliances                                        ;Office Supplies;29;5;2016;4;6;2016;6;España;Francia;Italia;Portugal;;
First Class;46516;2;0;1209416;Consumer;East;Connecticut;Appliances                                        ;Office Supplies;13;3;2016;15;3;2016;2;España;Francia;Italia;Portugal;;
Standard Class;1167;3;0;30342;Corporate;East;New Jersey;Appliances                                        ;Office Supplies;30;10;2015;3;11;2015;4;España;Francia;Italia;Portugal;;
Second Class;778;2;0;20228;Home Office;West;California;Appliances                                        ;Office Supplies;11;11;2013;13;11;2013;2;España;Francia;Italia;Portugal;;
First Class;389;1;0;10114;Corporate;West;Washington;Appliances                                        ;Office Supplies;30;9;2016;3;10;2016;3;España;Francia;Italia;Portugal;;
Standard Class;778;2;0;20228;Consumer;West;California;Appliances                                        ;Office Supplies;6;12;2014;11;12;2014;5;España;Francia;Italia;Portugal;;
Standard Class;1556;4;0;40456;Consumer;East;New York;Appliances                                        ;Office Supplies;4;6;2013;9;6;2013;5;España;Francia;Italia;Portugal;;
Standard Class;1556;2;8;-42012;Consumer;Central;Texas;Appliances                                        ;Office Supplies;11;9;2016;16;9;2016;5;España;Francia;Italia;Portugal;;
Standard Class;2334;3;8;-63018;Consumer;Central;Illinois;Appliances                                        ;Office Supplies;7;3;2015;13;3;2015;6;España;Francia;Italia;Portugal;;
Standard Class;16704;6;2;12528;Home Office;East;Ohio;Appliances                                        ;Office Supplies;26;9;2013;30;9;2013;4;España;Francia;Italia;Portugal;;
First Class;1392;2;8;-37584;Consumer;Central;Texas;Appliances                                        ;Office Supplies;11;12;2016;13;12;2016;2;España;Francia;Italia;Portugal;;
First Class;5496;3;0;159384;Corporate;Central;Indiana;Appliances                                        ;Office Supplies;20;11;2015;23;11;2015;3;España;Francia;Italia;Portugal;;
Second Class;29312;8;8;-747456;Consumer;Central;Texas;Appliances                                        ;Office Supplies;23;12;2016;25;12;2016;2;España;Francia;Italia;Portugal;;
Standard Class;7328;4;0;212512;Consumer;West;Washington;Appliances                                        ;Office Supplies;29;3;2014;4;4;2014;6;España;Francia;Italia;Portugal;;
Standard Class;1832;5;8;-46716;Consumer;Central;Texas;Appliances                                        ;Office Supplies;23;5;2016;27;5;2016;4;España;Francia;Italia;Portugal;;
Standard Class;916;5;0;26564;Home Office;Central;Wisconsin;Appliances                                        ;Office Supplies;28;8;2016;1;9;2016;4;España;Francia;Italia;Portugal;;
Second Class;21984;6;8;-560592;Corporate;Central;Texas;Appliances                                        ;Office Supplies;2;10;2016;4;10;2016;2;España;Francia;Italia;Portugal;;
Standard Class;1678;2;0;4195;Corporate;East;New York;Appliances                                        ;Office Supplies;8;9;2013;12;9;2013;4;España;Francia;Italia;Portugal;;
Standard Class;20136;3;2;12585;Corporate;East;Pennsylvania;Appliances                                        ;Office Supplies;2;11;2016;6;11;2016;4;España;Francia;Italia;Portugal;;
Standard Class;4195;5;0;104875;Home Office;East;New Jersey;Appliances                                        ;Office Supplies;8;4;2016;14;4;2016;6;España;Francia;Italia;Portugal;;
First Class;839;10;0;20975;Consumer;Central;Missouri;Appliances                                        ;Office Supplies;2;11;2016;5;11;2016;3;España;Francia;Italia;Portugal;;
Standard Class;5873;7;0;146825;Home Office;East;New York;Appliances                                        ;Office Supplies;26;11;2016;30;11;2016;4;España;Francia;Italia;Portugal;;
Standard Class;839;1;0;20975;Corporate;East;New York;Appliances                                        ;Office Supplies;6;9;2014;12;9;2014;6;España;Francia;Italia;Portugal;;
Second Class;34848;2;2;6534;Consumer;South;North Carolina;Appliances                                        ;Office Supplies;29;7;2016;1;8;2016;3;España;Francia;Italia;Portugal;;
Standard Class;52272;3;2;9801;Corporate;East;Ohio;Appliances                                        ;Office Supplies;26;11;2016;30;11;2016;4;España;Francia;Italia;Portugal;;
Standard Class;34848;2;2;6534;Corporate;East;Pennsylvania;Appliances                                        ;Office Supplies;27;5;2015;2;6;2015;6;España;Francia;Italia;Portugal;;
Standard Class;6534;3;0;22869;Consumer;West;Washington;Appliances                                        ;Office Supplies;11;12;2015;18;12;2015;7;España;Francia;Italia;Portugal;;
Standard Class;8712;2;8;-19602;Corporate;Central;Texas;Appliances                                        ;Office Supplies;25;6;2015;29;6;2015;4;España;Francia;Italia;Portugal;;
First Class;4356;2;0;15246;Corporate;West;California;Appliances                                        ;Office Supplies;28;9;2014;1;10;2014;3;España;Francia;Italia;Portugal;;
Standard Class;20816;1;0;562032;Consumer;East;New York;Appliances                                        ;Office Supplies;23;5;2013;27;5;2013;4;España;Francia;Italia;Portugal;;
Standard Class;41632;2;0;1124064;Corporate;Central;South Dakota;Appliances                                        ;Office Supplies;20;7;2016;25;7;2016;5;España;Francia;Italia;Portugal;;
Standard Class;10408;5;0;281016;Corporate;East;New York;Appliances                                        ;Office Supplies;24;8;2015;28;8;2015;4;España;Francia;Italia;Portugal;;
First Class;20816;1;0;562032;Corporate;South;Alabama;Appliances                                        ;Office Supplies;13;6;2015;16;6;2015;3;España;Francia;Italia;Portugal;;
Second Class;499584;3;2;437136;Consumer;South;North Carolina;Appliances                                        ;Office Supplies;6;11;2016;9;11;2016;3;España;Francia;Italia;Portugal;;
Standard Class;333056;2;2;291424;Consumer;South;Tennessee;Appliances                                        ;Office Supplies;15;11;2013;21;11;2013;6;España;Francia;Italia;Portugal;;
Second Class;143952;3;2;143952;Corporate;East;Pennsylvania;Appliances                                        ;Office Supplies;26;9;2013;1;10;2013;5;España;Francia;Italia;Portugal;;
Standard Class;26991;5;1;53982;Consumer;Central;Michigan;Appliances                                        ;Office Supplies;9;10;2014;13;10;2014;4;España;Francia;Italia;Portugal;;
First Class;17994;3;0;503832;Corporate;South;Virginia;Appliances                                        ;Office Supplies;15;7;2016;17;7;2016;2;España;Francia;Italia;Portugal;;
Standard Class;23992;2;8;-623792;Consumer;Central;Illinois;Appliances                                        ;Office Supplies;21;10;2016;25;10;2016;4;España;Francia;Italia;Portugal;;
Second Class;11996;2;0;335888;Consumer;West;Washington;Appliances                                        ;Office Supplies;23;9;2016;25;9;2016;2;España;Francia;Italia;Portugal;;
Standard Class;1624;2;8;-4466;Corporate;Central;Texas;Appliances                                        ;Office Supplies;8;6;2016;12;6;2016;4;España;Francia;Italia;Portugal;;
Same Day;1734;2;0;46818;Consumer;South;Louisiana;Appliances                                        ;Office Supplies;14;8;2015;14;8;2015;0;España;Francia;Italia;Portugal;;
Standard Class;867;1;0;23409;Consumer;West;California;Appliances                                        ;Office Supplies;13;5;2015;17;5;2015;4;España;Francia;Italia;Portugal;;
Standard Class;6069;7;0;163863;Consumer;Central;Indiana;Appliances                                        ;Office Supplies;5;3;2014;9;3;2014;4;España;Francia;Italia;Portugal;;
Second Class;20808;3;2;18207;Corporate;South;Florida;Appliances                                        ;Office Supplies;1;4;2016;4;4;2016;3;España;Francia;Italia;Portugal;;
Standard Class;1748;4;0;45448;Corporate;West;California;Appliances                                        ;Office Supplies;17;9;2015;23;9;2015;6;España;Francia;Italia;Portugal;;
Standard Class;1748;4;0;45448;Consumer;East;New York;Appliances                                        ;Office Supplies;21;7;2016;27;7;2016;6;España;Francia;Italia;Portugal;;
Standard Class;6992;2;2;5244;Corporate;South;Florida;Appliances                                        ;Office Supplies;24;3;2014;30;3;2014;6;España;Francia;Italia;Portugal;;
Second Class;1748;5;2;1311;Corporate;East;Ohio;Appliances                                        ;Office Supplies;1;6;2016;5;6;2016;4;España;Francia;Italia;Portugal;;
Standard Class;24472;7;2;18354;Consumer;South;Florida;Appliances                                        ;Office Supplies;3;6;2016;10;6;2016;7;España;Francia;Italia;Portugal;;
Standard Class;61929;1;1;233954;Consumer;Central;Michigan;Appliances                                        ;Office Supplies;10;12;2015;14;12;2015;4;España;Francia;Italia;Portugal;;
Same Day;123858;2;1;467908;Corporate;Central;Michigan;Appliances                                        ;Office Supplies;11;11;2014;11;11;2014;0;España;Francia;Italia;Portugal;;
Standard Class;13762;2;0;605528;Consumer;Central;Oklahoma;Appliances                                        ;Office Supplies;29;7;2016;3;8;2016;5;España;Francia;Italia;Portugal;;
Standard Class;247716;4;1;935816;Consumer;Central;Michigan;Appliances                                        ;Office Supplies;20;1;2013;26;1;2013;6;España;Francia;Italia;Portugal;;
Standard Class;13762;1;8;-247716;Corporate;Central;Texas;Appliances                                        ;Office Supplies;24;11;2016;30;11;2016;6;España;Francia;Italia;Portugal;;
First Class;20643;3;0;908292;Consumer;East;New York;Appliances                                        ;Office Supplies;25;4;2014;28;4;2014;3;España;Francia;Italia;Portugal;;
Second Class;27524;4;0;1211056;Consumer;East;New Jersey;Appliances                                        ;Office Supplies;29;6;2015;1;7;2015;2;España;Francia;Italia;Portugal;;
Standard Class;110096;2;2;330288;Consumer;East;Ohio;Appliances                                        ;Office Supplies;13;11;2015;17;11;2015;4;España;Francia;Italia;Portugal;;
First Class;13762;2;0;605528;Corporate;East;Connecticut;Appliances                                        ;Office Supplies;3;9;2014;5;9;2014;2;España;Francia;Italia;Portugal;;
Standard Class;6881;5;8;-123858;Home Office;Central;Texas;Appliances                                        ;Office Supplies;22;11;2014;26;11;2014;4;España;Francia;Italia;Portugal;;
Standard Class;20724;11;0;580272;Consumer;Central;Indiana;Appliances                                        ;Office Supplies;23;12;2013;28;12;2013;5;España;Francia;Italia;Portugal;;
Standard Class;30144;2;2;30144;Corporate;West;Arizona;Appliances                                        ;Office Supplies;2;4;2015;9;4;2015;7;España;Francia;Italia;Portugal;;
Standard Class;5652;3;0;158256;Consumer;West;California;Appliances                                        ;Office Supplies;13;12;2015;17;12;2015;4;España;Francia;Italia;Portugal;;
Standard Class;45216;3;2;45216;Corporate;East;Ohio;Appliances                                        ;Office Supplies;16;4;2014;21;4;2014;5;España;Francia;Italia;Portugal;;
Standard Class;5652;3;0;158256;Corporate;East;New York;Appliances                                        ;Office Supplies;23;12;2013;27;12;2013;4;España;Francia;Italia;Portugal;;
Second Class;3768;2;0;105504;Corporate;Central;Indiana;Appliances                                        ;Office Supplies;13;11;2015;16;11;2015;3;España;Francia;Italia;Portugal;;
Standard Class;45216;3;2;45216;Consumer;South;North Carolina;Appliances                                        ;Office Supplies;3;12;2016;10;12;2016;7;España;Francia;Italia;Portugal;;
Standard Class;3768;2;0;105504;Corporate;East;Maryland;Appliances                                        ;Office Supplies;23;7;2015;27;7;2015;4;España;Francia;Italia;Portugal;;
First Class;17604;4;0;457704;Consumer;West;California;Appliances                                        ;Office Supplies;25;3;2016;26;3;2016;1;España;Francia;Italia;Portugal;;
Standard Class;35208;1;2;26406;Consumer;West;Oregon;Appliances                                        ;Office Supplies;14;4;2014;18;4;2014;4;España;Francia;Italia;Portugal;;
Standard Class;26406;3;8;-712962;Consumer;Central;Illinois;Appliances                                        ;Office Supplies;4;5;2015;9;5;2015;5;España;Francia;Italia;Portugal;;
Standard Class;211248;6;2;158436;Home Office;South;Florida;Appliances                                        ;Office Supplies;12;8;2013;16;8;2013;4;España;Francia;Italia;Portugal;;
Standard Class;113552;2;2;85164;Consumer;East;Ohio;Appliances                                        ;Office Supplies;23;8;2015;29;8;2015;6;España;Francia;Italia;Portugal;;
Same Day;7097;5;8;-191619;Home Office;Central;Illinois;Appliances                                        ;Office Supplies;10;5;2014;10;5;2014;0;España;Francia;Italia;Portugal;;
Standard Class;63873;9;0;1660698;Consumer;Central;Indiana;Appliances                                        ;Office Supplies;31;8;2016;5;9;2016;5;España;Francia;Italia;Portugal;;
Same Day;16744;2;2;14651;Corporate;South;North Carolina;Appliances                                        ;Office Supplies;4;11;2016;4;11;2016;0;España;Francia;Italia;Portugal;;
Standard Class;2093;2;0;56511;Home Office;Central;Indiana;Appliances                                        ;Office Supplies;30;12;2016;5;1;2017;6;España;Francia;Italia;Portugal;;
Standard Class;6279;3;8;-1663935;Home Office;Central;Texas;Appliances                                        ;Office Supplies;6;9;2015;11;9;2015;5;España;Francia;Italia;Portugal;;
Standard Class;37674;4;1;71162;Consumer;Central;Michigan;Appliances                                        ;Office Supplies;2;9;2015;6;9;2015;4;España;Francia;Italia;Portugal;;
Standard Class;33488;4;2;29302;Home Office;East;Ohio;Appliances                                        ;Office Supplies;11;11;2015;15;11;2015;4;España;Francia;Italia;Portugal;;
Standard Class;52325;5;0;1412775;Home Office;East;New York;Appliances                                        ;Office Supplies;16;11;2014;22;11;2014;6;España;Francia;Italia;Portugal;;
Standard Class;15588;6;0;54558;Corporate;Central;Wisconsin;Appliances                                        ;Office Supplies;31;7;2016;5;8;2016;5;España;Francia;Italia;Portugal;;
Standard Class;10392;4;0;36372;Consumer;West;Washington;Appliances                                        ;Office Supplies;15;12;2014;22;12;2014;7;España;Francia;Italia;Portugal;;
First Class;9928;2;2;1241;Corporate;East;Pennsylvania;Appliances                                        ;Office Supplies;24;4;2016;27;4;2016;3;España;Francia;Italia;Portugal;;
Standard Class;167535;3;1;3723;Home Office;Central;Michigan;Appliances                                        ;Office Supplies;8;8;2013;12;8;2013;4;España;Francia;Italia;Portugal;;
Standard Class;18615;3;0;55845;Corporate;West;California;Appliances                                        ;Office Supplies;28;9;2014;5;10;2014;7;España;Francia;Italia;Portugal;;
Standard Class;17798;5;8;-453849;Consumer;Central;Texas;Appliances                                        ;Office Supplies;8;9;2013;12;9;2013;4;España;Francia;Italia;Portugal;;
Standard Class;53394;3;0;1548426;Consumer;East;New York;Appliances                                        ;Office Supplies;1;11;2013;5;11;2013;4;España;Francia;Italia;Portugal;;
First Class;569536;4;2;640728;Consumer;South;North Carolina;Appliances                                        ;Office Supplies;10;8;2015;13;8;2015;3;España;Francia;Italia;Portugal;;
Second Class;124586;7;0;3612994;Corporate;South;Georgia;Appliances                                        ;Office Supplies;20;2;2016;22;2;2016;2;España;Francia;Italia;Portugal;;
Standard Class;35596;2;0;1032284;Home Office;East;Maryland;Appliances                                        ;Office Supplies;27;12;2014;31;12;2014;4;España;Francia;Italia;Portugal;;
Standard Class;58924;1;8;-1532024;Consumer;Central;Texas;Appliances                                        ;Office Supplies;14;8;2015;20;8;2015;6;España;Francia;Italia;Portugal;;
First Class;942784;4;2;942784;Corporate;South;North Carolina;Appliances                                        ;Office Supplies;14;9;2016;17;9;2016;3;España;Francia;Italia;Portugal;;
Standard Class;14731;5;0;412468;Consumer;West;California;Appliances                                        ;Office Supplies;7;8;2016;11;8;2016;4;España;Francia;Italia;Portugal;;
Standard Class;176772;3;8;-4596072;Consumer;Central;Texas;Appliances                                        ;Office Supplies;3;3;2013;7;3;2013;4;España;Francia;Italia;Portugal;;
Second Class;29462;5;8;-766012;Consumer;Central;Texas;Appliances                                        ;Office Supplies;2;12;2016;4;12;2016;2;España;Francia;Italia;Portugal;;
First Class;9784;2;0;254384;Consumer;West;California;Appliances                                        ;Office Supplies;29;9;2016;2;10;2016;3;España;Francia;Italia;Portugal;;
Standard Class;19568;2;8;-528336;Consumer;Central;Texas;Appliances                                        ;Office Supplies;19;4;2014;25;4;2014;6;España;Francia;Italia;Portugal;;
Second Class;29352;6;0;763152;Consumer;East;New York;Appliances                                        ;Office Supplies;28;9;2014;3;10;2014;5;España;Francia;Italia;Portugal;;
Standard Class;78272;2;2;58704;Home Office;West;Arizona;Appliances                                        ;Office Supplies;23;4;2015;30;4;2015;7;España;Francia;Italia;Portugal;;
Second Class;19568;4;0;508768;Consumer;South;Kentucky;Appliances                                        ;Office Supplies;11;9;2016;13;9;2016;2;España;Francia;Italia;Portugal;;
Second Class;14676;3;0;381576;Corporate;South;Kentucky;Appliances                                        ;Office Supplies;11;3;2013;13;3;2013;2;España;Francia;Italia;Portugal;;
Standard Class;9784;2;0;254384;Consumer;East;New Jersey;Appliances                                        ;Office Supplies;15;8;2016;21;8;2016;6;España;Francia;Italia;Portugal;;
Standard Class;86859;3;0;2518911;Home Office;Central;Oklahoma;Appliances                                        ;Office Supplies;16;10;2015;22;10;2015;6;España;Francia;Italia;Portugal;;
Standard Class;115812;4;0;3358548;Corporate;West;California;Appliances                                        ;Office Supplies;24;9;2014;28;9;2014;4;España;Francia;Italia;Portugal;;
Standard Class;144765;5;0;4198185;Consumer;West;California;Appliances                                        ;Office Supplies;17;4;2014;21;4;2014;4;España;Francia;Italia;Portugal;;
Standard Class;463248;8;8;-11812824;Consumer;Central;Texas;Appliances                                        ;Office Supplies;7;4;2014;11;4;2014;4;España;Francia;Italia;Portugal;;
Second Class;115812;5;2;1302885;Corporate;South;Florida;Appliances                                        ;Office Supplies;11;11;2016;16;11;2016;5;España;Francia;Italia;Portugal;;
Standard Class;173718;6;0;5037822;Corporate;East;Massachusetts;Appliances                                        ;Office Supplies;28;12;2013;1;1;2014;4;España;Francia;Italia;Portugal;;
First Class;20844;3;0;62532;Corporate;South;Kentucky;Appliances                                        ;Office Supplies;26;5;2016;29;5;2016;3;España;Francia;Italia;Portugal;;
Second Class;6948;1;0;20844;Corporate;West;California;Appliances                                        ;Office Supplies;8;12;2016;12;12;2016;4;España;Francia;Italia;Portugal;;
Second Class;194528;2;2;24316;Corporate;South;Florida;Appliances                                        ;Office Supplies;19;12;2015;21;12;2015;2;España;Francia;Italia;Portugal;;
Standard Class;36474;3;0;109422;Home Office;Central;Wisconsin;Appliances                                        ;Office Supplies;31;5;2015;5;6;2015;5;España;Francia;Italia;Portugal;;
Standard Class;170212;14;0;510636;Consumer;West;California;Appliances                                        ;Office Supplies;30;10;2016;5;11;2016;6;España;Francia;Italia;Portugal;;
Second Class;97264;4;8;-24316;Consumer;Central;Texas;Appliances                                        ;Office Supplies;21;4;2016;25;4;2016;4;España;Francia;Italia;Portugal;;
Second Class;389056;4;2;48632;Corporate;South;Florida;Appliances                                        ;Office Supplies;18;11;2016;23;11;2016;5;España;Francia;Italia;Portugal;;
Second Class;24316;2;0;72948;Consumer;West;California;Appliances                                        ;Office Supplies;4;5;2016;9;5;2016;5;España;Francia;Italia;Portugal;;
Standard Class;48632;2;8;-12158;Corporate;Central;Texas;Appliances                                        ;Office Supplies;9;7;2014;13;7;2014;4;España;Francia;Italia;Portugal;;
Standard Class;67512;3;0;2903016;Corporate;South;Georgia;Appliances                                        ;Office Supplies;22;11;2013;27;11;2013;5;España;Francia;Italia;Portugal;;
Standard Class;10596;4;0;296688;Home Office;West;California;Appliances                                        ;Office Supplies;25;8;2014;30;8;2014;5;España;Francia;Italia;Portugal;;
Standard Class;5298;2;0;148344;Consumer;West;California;Appliances                                        ;Office Supplies;31;3;2013;5;4;2013;5;España;Francia;Italia;Portugal;;
Standard Class;2649;1;0;74172;Corporate;East;New Jersey;Appliances                                        ;Office Supplies;27;12;2015;3;1;2016;7;España;Francia;Italia;Portugal;;
Second Class;7947;3;0;222516;Corporate;East;Connecticut;Appliances                                        ;Office Supplies;5;8;2013;7;8;2013;2;España;Francia;Italia;Portugal;;
Standard Class;42384;2;2;42384;Home Office;South;Florida;Appliances                                        ;Office Supplies;25;11;2015;1;12;2015;6;España;Francia;Italia;Portugal;;
Same Day;7947;3;0;222516;Corporate;West;California;Appliances                                        ;Office Supplies;2;12;2016;3;12;2016;1;España;Francia;Italia;Portugal;;
First Class;20352;3;0;549504;Consumer;West;California;Appliances                                        ;Office Supplies;21;8;2016;22;8;2016;1;España;Francia;Italia;Portugal;;
Standard Class;6784;1;0;183168;Home Office;West;California;Appliances                                        ;Office Supplies;19;11;2015;23;11;2015;4;España;Francia;Italia;Portugal;;
Standard Class;6784;5;8;-179776;Consumer;Central;Texas;Appliances                                        ;Office Supplies;25;11;2016;30;11;2016;5;España;Francia;Italia;Portugal;;
Second Class;325632;6;2;284928;Corporate;West;Arizona;Appliances                                        ;Office Supplies;21;11;2014;23;11;2014;2;España;Francia;Italia;Portugal;;
First Class;73536;4;2;9192;Corporate;East;Ohio;Appliances                                        ;Office Supplies;12;12;2015;15;12;2015;3;España;Francia;Italia;Portugal;;
First Class;2298;1;0;6894;Corporate;West;Washington;Appliances                                        ;Office Supplies;11;11;2013;13;11;2013;2;España;Francia;Italia;Portugal;;
Second Class;9192;5;2;1149;Consumer;East;Ohio;Appliances                                        ;Office Supplies;5;10;2013;10;10;2013;5;España;Francia;Italia;Portugal;;
Same Day;4596;2;0;13788;Corporate;West;California;Appliances                                        ;Office Supplies;2;8;2015;2;8;2015;0;España;Francia;Italia;Portugal;;
Standard Class;1149;5;0;3447;Consumer;West;California;Appliances                                        ;Office Supplies;9;6;2013;14;6;2013;5;España;Francia;Italia;Portugal;;
Standard Class;6894;3;0;20682;Home Office;East;New York;Appliances                                        ;Office Supplies;23;7;2014;27;7;2014;4;España;Francia;Italia;Portugal;;
Standard Class;4596;2;0;13788;Consumer;East;New York;Appliances                                        ;Office Supplies;18;7;2015;23;7;2015;5;España;Francia;Italia;Portugal;;
First Class;222;1;0;666;Corporate;East;Rhode Island;Appliances                                        ;Office Supplies;23;10;2016;24;10;2016;1;España;Francia;Italia;Portugal;;
First Class;3552;2;2;444;Consumer;East;Pennsylvania;Appliances                                        ;Office Supplies;19;12;2014;20;12;2014;1;España;Francia;Italia;Portugal;;
Standard Class;3552;2;2;444;Consumer;East;Pennsylvania;Appliances                                        ;Office Supplies;1;3;2014;5;3;2014;4;España;Francia;Italia;Portugal;;
Standard Class;444;1;8;-111;Consumer;Central;Texas;Appliances                                        ;Office Supplies;19;6;2016;23;6;2016;4;España;Francia;Italia;Portugal;;
First Class;192416;8;2;312676;Consumer;East;Pennsylvania;Appliances                                        ;Office Supplies;16;1;2016;19;1;2016;3;España;Francia;Italia;Portugal;;
Second Class;90195;3;0;2976435;Consumer;East;Massachusetts;Appliances                                        ;Office Supplies;2;12;2015;7;12;2015;5;España;Francia;Italia;Portugal;;
Same Day;6013;2;0;198429;Consumer;East;New York;Appliances                                        ;Office Supplies;14;9;2013;14;9;2013;0;España;Francia;Italia;Portugal;;
Second Class;150325;5;0;4960725;Home Office;Central;Minnesota;Appliances                                        ;Office Supplies;1;6;2013;6;6;2013;5;España;Francia;Italia;Portugal;;
Second Class;210455;7;0;6945015;Corporate;South;Virginia;Appliances                                        ;Office Supplies;2;12;2015;4;12;2015;2;España;Francia;Italia;Portugal;;
Same Day;90195;3;0;2976435;Consumer;East;Maryland;Appliances                                        ;Office Supplies;18;3;2015;18;3;2015;0;España;Francia;Italia;Portugal;;
Standard Class;96208;4;2;156338;Consumer;South;North Carolina;Appliances                                        ;Office Supplies;21;3;2014;26;3;2014;5;España;Francia;Italia;Portugal;;
Second Class;24052;8;0;793716;Corporate;Central;Indiana;Appliances                                        ;Office Supplies;1;6;2016;3;6;2016;2;España;Francia;Italia;Portugal;;
Standard Class;4332;2;0;142956;Consumer;West;California;Appliances                                        ;Office Supplies;4;11;2015;9;11;2015;5;España;Francia;Italia;Portugal;;
Standard Class;15162;7;0;500346;Consumer;West;California;Appliances                                        ;Office Supplies;15;7;2015;19;7;2015;4;España;Francia;Italia;Portugal;;
Standard Class;103968;6;2;168948;Corporate;East;Ohio;Appliances                                        ;Office Supplies;19;11;2015;25;11;2015;6;España;Francia;Italia;Portugal;;
Standard Class;34656;2;2;56316;Consumer;East;Pennsylvania;Appliances                                        ;Office Supplies;26;12;2013;31;12;2013;5;España;Francia;Italia;Portugal;;
Standard Class;1681;5;0;43706;Corporate;West;California;Appliances                                        ;Office Supplies;11;7;2016;18;7;2016;7;España;Francia;Italia;Portugal;;
Second Class;161376;6;2;121032;Consumer;South;Florida;Appliances                                        ;Office Supplies;23;8;2016;26;8;2016;3;España;Francia;Italia;Portugal;;
Standard Class;13448;4;0;349648;Corporate;West;California;Appliances                                        ;Office Supplies;13;12;2014;17;12;2014;4;España;Francia;Italia;Portugal;;
Standard Class;1681;5;0;43706;Consumer;West;California;Appliances                                        ;Office Supplies;2;11;2016;7;11;2016;5;España;Francia;Italia;Portugal;;
First Class;3362;5;8;-90774;Corporate;Central;Texas;Appliances                                        ;Office Supplies;31;3;2016;2;4;2016;2;España;Francia;Italia;Portugal;;
Second Class;192759;7;0;7517601;Home Office;Central;Missouri;Appliances                                        ;Office Supplies;18;10;2015;22;10;2015;4;España;Francia;Italia;Portugal;;
First Class;110148;4;0;4295772;Consumer;West;California;Appliances                                        ;Office Supplies;4;11;2015;7;11;2015;3;España;Francia;Italia;Portugal;;
First Class;82611;3;0;3221829;Corporate;South;Virginia;Appliances                                        ;Office Supplies;14;11;2014;17;11;2014;3;España;Francia;Italia;Portugal;;
First Class;19772;4;0;553616;Consumer;South;Virginia;Appliances                                        ;Office Supplies;2;11;2014;5;11;2014;3;España;Francia;Italia;Portugal;;
Same Day;795408;6;2;596556;Corporate;East;Ohio;Appliances                                        ;Office Supplies;30;9;2013;30;9;2013;0;España;Francia;Italia;Portugal;;
Standard Class;66284;4;0;1723384;Consumer;East;New Jersey;Appliances                                        ;Office Supplies;23;5;2015;28;5;2015;5;España;Francia;Italia;Portugal;;
Second Class;66284;2;8;-1789668;Consumer;Central;Texas;Appliances                                        ;Office Supplies;17;12;2016;21;12;2016;4;España;Francia;Italia;Portugal;;
Standard Class;5924;5;2;16291;Consumer;South;Tennessee;Appliances                                        ;Office Supplies;22;12;2016;28;12;2016;6;España;Francia;Italia;Portugal;;
Standard Class;23696;2;2;65164;Corporate;South;Florida;Appliances                                        ;Office Supplies;24;7;2015;28;7;2015;4;España;Francia;Italia;Portugal;;
Second Class;4443;3;0;186606;Consumer;South;Virginia;Appliances                                        ;Office Supplies;8;11;2014;13;11;2014;5;España;Francia;Italia;Portugal;;
Standard Class;23696;2;2;65164;Consumer;East;Pennsylvania;Appliances                                        ;Office Supplies;3;5;2014;7;5;2014;4;España;Francia;Italia;Portugal;;
First Class;1397;1;0;36322;Consumer;West;California;Appliances                                        ;Office Supplies;24;12;2013;26;12;2013;2;España;Francia;Italia;Portugal;;
Standard Class;33528;3;2;25146;Consumer;East;Pennsylvania;Appliances                                        ;Office Supplies;8;4;2015;13;4;2015;5;España;Francia;Italia;Portugal;;
Standard Class;5588;2;8;-150876;Corporate;Central;Illinois;Appliances                                        ;Office Supplies;2;9;2016;8;9;2016;6;España;Francia;Italia;Portugal;;
Standard Class;11176;1;2;8382;Corporate;West;Oregon;Appliances                                        ;Office Supplies;9;9;2016;15;9;2016;6;España;Francia;Italia;Portugal;;
Standard Class;4191;3;0;108966;Corporate;South;Georgia;Appliances                                        ;Office Supplies;10;7;2016;14;7;2016;4;España;Francia;Italia;Portugal;;
Standard Class;3627;3;0;10881;Consumer;South;Virginia;Appliances                                        ;Office Supplies;20;12;2014;26;12;2014;6;España;Francia;Italia;Portugal;;
First Class;3627;3;0;10881;Corporate;Central;Nebraska;Appliances                                        ;Office Supplies;21;9;2013;22;9;2013;1;España;Francia;Italia;Portugal;;
Second Class;2418;2;0;7254;Consumer;Central;Missouri;Appliances                                        ;Office Supplies;10;9;2016;15;9;2016;5;España;Francia;Italia;Portugal;;
Second Class;4836;5;2;6045;Consumer;East;Ohio;Appliances                                        ;Office Supplies;29;12;2013;31;12;2013;2;España;Francia;Italia;Portugal;;
Standard Class;4836;2;8;-1209;Consumer;Central;Texas;Appliances                                        ;Office Supplies;26;7;2013;30;7;2013;4;España;Francia;Italia;Portugal;;
Standard Class;20388;5;2;20388;Corporate;West;Oregon;Appliances                                        ;Office Supplies;26;10;2014;1;11;2014;6;España;Francia;Italia;Portugal;;
Standard Class;15291;3;0;428148;Consumer;West;California;Appliances                                        ;Office Supplies;15;8;2013;19;8;2013;4;España;Francia;Italia;Portugal;;
Standard Class;20388;2;8;-530088;Corporate;Central;Illinois;Appliances                                        ;Office Supplies;9;12;2013;15;12;2013;6;España;Francia;Italia;Portugal;;
